dt = 2017-04-29 11:23:52.583721 | collection_name = sessions | key = going_shuttles | new_value = - | filter_options = {'chat_id': 209567379}
dt = 2017-04-29 11:23:52.587412 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 209567379}
dt = 2017-04-29 11:24:03.494151 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201301315 | filter_options = {'chat_id': 207093337}
dt = 2017-04-29 11:24:03.500358 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 207093337}
dt = 2017-04-29 11:24:04.114693 | collection_name = sessions | key = going_shuttles | new_value = - | filter_options = {'chat_id': 209567379}
dt = 2017-04-29 11:24:04.118677 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 209567379}
dt = 2017-04-29 11:24:06.644883 | collection_name = sessions | key = going_shuttles | new_value = - | filter_options = {'chat_id': 209567379}
dt = 2017-04-29 11:24:06.648435 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 209567379}
dt = 2017-04-29 11:24:12.600201 | collection_name = sessions | key = going_shuttles | new_value = - | filter_options = {'chat_id': 207093337}
dt = 2017-04-29 11:24:12.602002 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 207093337}
dt = 2017-04-29 11:24:15.383050 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201305167 | filter_options = {'chat_id': 207093337}
dt = 2017-04-29 11:24:15.388575 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 207093337}
dt = 2017-04-29 11:24:29.417791 | collection_name = sessions | key = going_shuttles | new_value = - | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:24:29.418693 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:24:30.781057 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 60337694}
